Event,Event_Group,Event_Type,Proposition,Main_Category,Simplified_Page_URL,Count,Event_Type_Count
Other_Action,Refined,Other,other_action (Other Action),C-317_320.html,c-317_320,8,35061
Other_Action,Refined,Other,other_action (Other Action),C-317_322_327.html,c-317_322_327,8,35061
Other_Action,Refined,Other,other_action (Other Action),C-38.html,c-38,8,35061
Other_Action,Refined,Other,other_action (Other Action),C-39_40.html,c-39_40,8,35061
Other_Action,Refined,Other,other_action (Other Action),M-230.html,m-230,8,35061
Other_Action,Refined,Other,other_action (Other Action),C-24_208.html,c-24_208,7,35061
Other_Action,Refined,Other,other_action (Other Action),C-24_211.html,c-24_211,7,35061
Other_Action,Refined,Other,other_action (Other Action),C-24_292.html,c-24_292,7,35061
Other_Action,Refined,Other,other_action (Other Action),C-28_287.html,c-28_287,7,35061
Other_Action,Refined,Other,other_action (Other Action),C-317_322_325.html,c-317_322_325,7,35061
Other_Action,Refined,Other,other_action (Other Action),C-317_322_329.html,c-317_322_329,7,35061
Other_Action,Refined,Other,other_action (Other Action),C-317_333.html,c-317_333,7,35061
Other_Action,Refined,Other,other_action (Other Action),C-66_93.html,c-66_93,7,35061
Other_Action,Refined,Other,other_action (Other Action),C-66_80.html,c-66_80,6,35061
Other_Action,Refined,Other,other_action (Other Action),C-78_363.html,c-78_363,6,35061
Other_Action,Refined,Other,other_action (Other Action),Regulamin-sklepu.html,regulamin-sklepu,6,35061
Other_Action,Refined,Other,other_action (Other Action),C-24_336_23_260.html,c-24_336_23_260,5,35061
Other_Action,Refined,Other,other_action (Other Action),C-30_64.html,c-30_64,5,35061
Other_Action,Refined,Other,other_action (Other Action),C-34_114.html,c-34_114,5,35061
Other_Action,Refined,Other,other_action (Other Action),C-39_41.html,c-39_41,5,35061
Other_Action,Refined,Other,other_action (Other Action),C-65.html,c-65,5,35061
Other_Action,Refined,Other,other_action (Other Action),C-66_246.html,c-66_246,5,35061
Other_Action,Refined,Other,other_action (Other Action),C-66_68.html,c-66_68,5,35061
Other_Action,Refined,Other,other_action (Other Action),C-66_84.html,c-66_84,5,35061
Other_Action,Refined,Other,other_action (Other Action),Schowek.html,schowek,5,35061
Other_Action,Refined,Other,other_action (Other Action),Zamowienia-szczegoly-zs-43093.html,zamowienia-szczegoly-zs-43093,5,35061
Other_Action,Refined,Other,other_action (Other Action),C-21.html?gclid=cjwkcaiaxmlvbrbneiwakhr-nmf_uklwcvbokxf42zxzqpd7r5x-irr3fhx7edz8zcdrxcmdanmngxocvkiqavd_bwe,c-21,4,35061
Other_Action,Refined,Other,other_action (Other Action),C-24_200_213.html,c-24_200_213,4,35061
Other_Action,Refined,Other,other_action (Other Action),C-24_336.html,c-24_336,4,35061
Other_Action,Refined,Other,other_action (Other Action),C-24_336_23.html,c-24_336_23,4,35061
Other_Action,Refined,Other,other_action (Other Action),C-317_322_323.html,c-317_322_323,4,35061
Other_Action,Refined,Other,other_action (Other Action),C-317_332.html,c-317_332,4,35061
Other_Action,Refined,Other,other_action (Other Action),C-66_239.html,c-66_239,4,35061
Other_Action,Refined,Other,other_action (Other Action),C-66_277.html,c-66_277,4,35061
Other_Action,Refined,Other,other_action (Other Action),C-66_72_75.html,c-66_72_75,4,35061
Other_Action,Refined,Other,other_action (Other Action),C-66_85.html,c-66_85,4,35061
Other_Action,Refined,Other,other_action (Other Action),C-78_360.html,c-78_360,4,35061
Other_Action,Refined,Other,other_action (Other Action),M-143.html,m-143,4,35061
Other_Action,Refined,Other,other_action (Other Action),Rejestracja.html,rejestracja,4,35061
Other_Action,Refined,Other,other_action (Other Action),Zamowienia-szczegoly-zs-43127.html,zamowienia-szczegoly-zs-43127,4,35061
Other_Action,Refined,Other,other_action (Other Action),C-24_336_23_257.html,c-24_336_23_257,3,35061
Other_Action,Refined,Other,other_action (Other Action),C-272_312.html?fbclid=iwar2wvj4xl1tfzanwndognz3bg13qf9enrxco5xdqtndqajk4u3hvr8qmqpi,c-272_312,3,35061
Other_Action,Refined,Other,other_action (Other Action),C-33_343.html,c-33_343,3,35061
Other_Action,Refined,Other,other_action (Other Action),C-34_118.html,c-34_118,3,35061
Other_Action,Refined,Other,other_action (Other Action),C-39_47.html,c-39_47,3,35061
Other_Action,Refined,Other,other_action (Other Action),C-39_54_135.html,c-39_54_135,3,35061
Other_Action,Refined,Other,other_action (Other Action),C-56_29.html,c-56_29,3,35061
Other_Action,Refined,Other,other_action (Other Action),C-61_339.html,c-61_339,3,35061
Other_Action,Refined,Other,other_action (Other Action),C-66_215.html,c-66_215,3,35061
Other_Action,Refined,Other,other_action (Other Action),C-66_276.html,c-66_276,3,35061
Other_Action,Refined,Other,other_action (Other Action),C-66_67.html,c-66_67,3,35061
Other_Action,Refined,Other,other_action (Other Action),C-66_69.html,c-66_69,3,35061
Other_Action,Refined,Other,other_action (Other Action),C-66_72.html,c-66_72,3,35061
Other_Action,Refined,Other,other_action (Other Action),C-66_90.html,c-66_90,3,35061
Other_Action,Refined,Other,other_action (Other Action),C-66_93_95.html,c-66_93_95,3,35061
Other_Action,Refined,Other,other_action (Other Action),C-78_357.html,c-78_357,3,35061
Other_Action,Refined,Other,other_action (Other Action),Korzystanie-z-naszego sklepu.html,korzystanie-z-naszego sklepu,3,35061
Other_Action,Refined,Other,other_action (Other Action),M-120.html,m-120,3,35061
Other_Action,Refined,Other,other_action (Other Action),M-127.html,m-127,3,35061
Other_Action,Refined,Other,other_action (Other Action),M-33.html,m-33,3,35061
Other_Action,Refined,Other,other_action (Other Action),Robots.txt,robots.txt,3,35061
Other_Action,Refined,Other,other_action (Other Action),Wyszukiwanie-query2222.html,wyszukiwanie-query2222,3,35061
Other_Action,Refined,Other,other_action (Other Action),Wyszukiwanie-zaawansowane.html,wyszukiwanie-zaawansowane,3,35061
Other_Action,Refined,Other,other_action (Other Action),Zamowienia-szczegoly-zs-40915.html,zamowienia-szczegoly-zs-40915,3,35061
Other_Action,Refined,Other,other_action (Other Action),Zamowienia-szczegoly-zs-42244.html,zamowienia-szczegoly-zs-42244,3,35061
Other_Action,Refined,Other,other_action (Other Action),Zamowienia-szczegoly-zs-42781.html,zamowienia-szczegoly-zs-42781,3,35061
Other_Action,Refined,Other,other_action (Other Action),Zamowienia-szczegoly-zs-43060.html,zamowienia-szczegoly-zs-43060,3,35061
Other_Action,Refined,Other,other_action (Other Action),Zamowienia-szczegoly-zs-43137.html,zamowienia-szczegoly-zs-43137,3,35061
Other_Action,Refined,Other,other_action (Other Action),C-21.html?gclid=cjwkcaiaxmlvbrbneiwakhr-nbjr2sy_4fwqfi6n99dbdqwhb9nmtihwn3pw60iiwb3syxuov5ticrocnw0qavd_bwe,c-21,2,35061
Other_Action,Refined,Other,other_action (Other Action),C-21.html?gclid=cjwkcaiaxmlvbrbneiwakhr-nbvxs_-j0ezgukdn8yan0h6ar_4fdujthq-n97pif3crkwyg1wrpdrocriaqavd_bwe,c-21,2,35061
